r,theta_over_pi,theta,n,symmetric,max_abs_imag,method,matvecs,converged,diverged,residual,speedup,predicted_speedup,mu_subdominant,mu_dominant,theory_diverges,beta,backtracks
0.95,0.2,0.6283185307179586,81,False,0.5583959896778494,dynamic_safe,901,True,False,9.971012802107982e-13,0.5960044395116537,6.297829826079716,0.9627038997022644,0.65612494995996,True,0.225625,10
0.95,0.3,0.9424777960769379,81,False,0.7685661446562,power,545,True,False,9.545240345280602e-13,1.0,6.297829826079716,1.0661141033533779,0.65612494995996,True,0.225625,0
0.95,0.3,0.9424777960769379,81,False,0.7685661446562,static,1002,False,True,0.7685661446562,,6.297829826079716,1.0661141033533779,0.65612494995996,True,0.225625,0
0.95,0.3,0.9424777960769379,81,False,0.7685661446562,dynamic,1003,False,True,0.7685661446562,,6.297829826079716,1.0661141033533779,0.65612494995996,True,0.225625,0
0.95,0.3,0.9424777960769379,81,False,0.7685661446562,dynamic_safe,654,True,False,9.545240345280602e-13,0.8333333333333334,6.297829826079716,1.0661141033533779,0.65612494995996,True,0.225625,10
0.95,0.4,1.2566370614359172,81,False,0.9035036904803958,power,550,True,False,9.55647855921266e-13,1.0,6.297829826079716,1.126711168184968,0.65612494995996,True,0.225625,0
0.95,0.4,1.2566370614359172,81,False,0.9035036904803958,static,1002,False,True,0.9035036904803958,,6.297829826079716,1.126711168184968,0.65612494995996,True,0.225625,0
0.95,0.4,1.2566370614359172,81,False,0.9035036904803958,dynamic,1003,False,True,0.8946339802197405,,6.297829826079716,1.126711168184968,0.65612494995996,True,0.225625,0
0.95,0.4,1.2566370614359172,81,False,0.9035036904803958,dynamic_safe,659,True,False,9.55647855921266e-13,0.834597875569044,6.297829826079716,1.126711168184968,0.65612494995996,True,0.225625,10
0.95,0.5,1.5707963267948966,81,False,0.95,power,553,True,False,9.853884103161287e-13,1.0,6.297829826079716,1.1467514421272202,0.65612494995996,True,0.225625,0
0.95,0.5,1.5707963267948966,81,False,0.95,static,1002,False,True,0.9499999999999998,,6.297829826079716,1.1467514421272202,0.65612494995996,True,0.225625,0
0.95,0.5,1.5707963267948966,81,False,0.95,dynamic,1003,False,True,0.9140264576270165,,6.297829826079716,1.1467514421272202,0.65612494995996,True,0.225625,0
0.95,0.5,1.5707963267948966,81,False,0.95,dynamic_safe,662,True,False,9.853884103161287e-13,0.8353474320241692,6.297829826079716,1.1467514421272202,0.65612494995996,True,0.225625,10
